,year,rank,title,artist
343,1955,27,The Naughty Lady of Shady Lane,The Ames Brothers
344,1955,28,That's All I Want from You,Jaye P. Morgan
345,1955,29,Only You (And You Alone),The Platters
346,1955,30,It's a Sin to Tell a Lie,Somethin' Smith and the Redheads
347,1956,,,
348,1956,1,Heartbreak Hotel,Elvis Presley
349,1956,2,Don't Be Cruel,
350,1956,3,Lisbon Antigua,Nelson Riddle
351,1956,4,My Prayer,The Platters
352,1956,5,The Wayward Wind,Gogi Grant
353,1956,6,Hound Dog,Elvis Presley
354,1956,7,The Poor People of Paris,Les Baxter
355,1956,8,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day
356,1956,9,Memories Are Made of This,Dean Martin
357,1956,10,(The) Rock and Roll Waltz,Kay Starr
358,1956,11,Moonglow and Theme from Picnic,Morris Stoloff
359,1956,12,The Great Pretender,The Platters
360,1956,13,I Almost Lost My Mind,Pat Boone
361,1956,14,"I Want You, I Need You, I Love You",Elvis Presley
362,1956,15,Love Me Tender,
363,1956,16,Hot Diggity (Dog Ziggity Boom),Perry Como
364,1956,17,Canadian Sunset,Eddie Heywood
365,1956,18,Blue Suede Shoes,Carl Perkins
366,1956,19,Green Door,Jim Lowe
367,1956,20,"No, Not Much",The Four Lads
368,1956,21,Honky Tonk,Bill Doggett
369,1956,22,Sixteen Tons,Tennessee Ernie Ford
370,1956,23,Just Walkin' in the Rain,Johnnie Ray
371,1956,24,Allegheny Moon,Patti Page
372,1956,25,I'm in Love Again,Fats Domino
373,1956,26,Tonight You Belong to Me,Patience and Prudence
374,1956,27,Be-Bop-A-Lula,Gene Vincent
375,1956,28,Why Do Fools Fall in Love,Frankie Lymon and the Teenagers
376,1956,29,Standing on the Corner,The Four Lads
377,1956,30,The Flying Saucer,Buchanan
378,1956,31,Moonglow and Theme from Picnic,George Cates
379,1956,32,Ivory Tower,Cathy Carr
380,1956,33,See You Later Alligator,Bill Haley & His Comets
381,1956,34,I'll Be Home,Pat Boone
382,1956,35,On the Street Where You Live,Vic Damone
383,1956,36,(You've Got) The Magic Touch,The Platters
384,1956,37,Born to Be with You,The Chordettes
385,1956,38,Band of Gold,Don Cherry
386,1956,39,More,Perry Como
387,1956,40,Singing the Blues,Guy Mitchell
388,1956,41,Blueberry Hill,Fats Domino
389,1956,42,The Fool,Sanford Clark
390,1956,43,The Happy Whistler,Don Robertson
391,1956,44,True Love,Bing Crosby
392,1956,45,Long Tall Sally,Little Richard
393,1956,46,A Sweet Old Fashioned Girl,Teresa Brewer
394,1956,47,"""Transfusion""",Nervous Norvus
395,1956,48,It Only Hurts for a Little While,The Ames Brothers
396,1956,49,A Tear Fell,Teresa Brewer
397,1956,50,Rock Island Line,Lonnie Donegan
398,1957,,,
399,1957,1,All Shook Up,Elvis Presley
400,1957,2,Love Letters in the Sand,Pat Boone
401,1957,3,Little Darlin',The Diamonds
402,1957,4,Young Love,Tab Hunter
403,1957,5,So Rare,Jimmy Dorsey
404,1957,6,Don't Forbid Me,Pat Boone
405,1957,7,Singing the Blues,Guy Mitchell
406,1957,8,Young Love,Sonny James
407,1957,9,Too Much,Elvis Presley
408,1957,10,Round and Round,Perry Como
409,1957,11,Bye Bye Love,The Everly Brothers
410,1957,12,Tammy,Debbie Reynolds
411,1957,13,Party Doll,Buddy Knox
412,1957,14,Teddy Bear,Elvis Presley
413,1957,15,Day-O (The Banana Boat Song),Harry Belafonte
414,1957,16,Jailhouse Rock,Elvis Presley
415,1957,17,A White Sport Coat (and a Pink Carnation),Marty Robbins
416,1957,18,Come Go with Me,The Del-Vikings
417,1957,19,Wake Up Little Susie,The Everly Brothers
418,1957,20,You Send Me,Sam Cooke
419,1957,21,Searchin',The Coasters
420,1957,22,School Days,Chuck Berry
421,1957,23,Gone,Ferlin Husky
422,1957,24,Diana,Paul Anka
